social_support,health,continent
1.499525905,0.961271405,Europe
1.503449202,0.979332566,Europe
1.472403407,1.040533185,Europe
1.547567487,1.000843406,Europe
1.495172501,1.008071899,Europe
1.463645935,0.975675344,Europe
1.433347702,0.986470461,Europe
1.48721838,1.008138299,Australia
1.437444925,1.000933528,Europe
1.387528419,0.986442685,Europe
1.435391903,1.022501945,North America
1.477146268,1.022607684,Australia
1.457844973,0.97570008,Europe
1.403256774,1.008052945,Asia
1.374853611,0.939635336,South America
1.470596433,0.975670695,Europe
1.368543744,0.972114801,Europe
1.404786706,0.831618011,North America
1.40528667,0.89456445,Europe
1.398677588,0.964901149,Europe
1.251170993,0.787814438,Asia
1.442956924,0.972042024,Europe
1.458839178,1.029714227,Europe
1.226333499,0.831601024,North America
1.425081134,0.856928885,South America
1.309950113,0.759818137,Asia
1.421099186,1.051343083,Europe
1.174267054,0.705952585,South America
1.347296,1.022504926,Europe
1.39545691,1.137814283,Asia
1.363464117,0.766119063,South America
1.464677691,0.932548046,Europe
1.149397612,0.752730012,South America
1.183962822,0.672709167,Europe
1.376149297,0.878546536,South America
1.424331188,0.853465259,Europe
1.434020042,0.716703713,Asia
1.323286891,0.889260828,South America
1.31532371,0.838836372,Asia
1.432865739,0.795421183,Europe
1.310399771,0.868038476,Europe
1.33445096,0.810020149,South America
1.149170756,1.026124597,Asia
1.27081275,0.803093255,South America
1.1944381,0.79229486,Europe
1.244779825,0.776468933,Asia
1.395666838,0.763389409,Africa
1.453267694,0.698788941,Asia
1.453232527,0.842615008,Europe
1.245381713,0.602189481,Asia
1.423009396,0.806793869,Europe
1.347519517,0.793855846,Asia
1.372543693,0.849773705,South America
1.186664104,0.791989982,South America
1.414398789,0.777902424,Europe
1.221027613,0.838837743,South America
1.339530349,0.979315281,Europe
1.408289194,0.788434088,South America
1.133560538,1.022542596,Asia
1.332338691,1.072881341,Asia
1.208405972,0.824444175,South America
1.327448964,0.828403294,Europe
1.142350554,0.662445664,South America
0.872979581,0.469933242,Asia
1.36819756,0.735869646,South America
1.328888893,0.741901696,South America
1.203986526,0.813928187,Europe
1.237312198,0.713299453,Europe
1.218377709,0.680594802,Asia
1.265657902,0.839028895,Europe
1.378644109,0.68044591,Europe
1.341036677,0.680645883,Asia
1.38713932,0.75258857,Europe
1.168973565,0.979431748,Europe
1.311264873,0.900575578,Europe
1.196283698,0.615626633,Africa
1.458930612,0.615788162,Asia
1.17400229,0.788511872,Asia
1.253074765,0.819133997,Asia
1.154800892,0.610437036,Asia
0.799727261,0.154942513,Africa
0.352428436,0.328062952,Africa
0.757636011,0.458101124,Africa
1.180613041,0.731134057,Asia
0.96636796,0.432162255,Africa
1.100789309,0.66887939,Asia
1.197159171,0.781335294,Asia
1.132080674,0.867248535,Asia
1.510476947,0.612448037,Asia
1.460578918,0.777776897,Europe
0.645208478,0.745096922,Africa
0.89972645,0.270189553,Africa
1.348546863,0.76702553,South America
1.143003583,0.745418549,Africa
0.95459342,0.518391907,Africa
0.75136596,0.333655238,South America
0.703800142,0.298816353,Africa
0.830483913,0.846329629,Europe
1.071426034,0.587904334,Asia
0.868800581,0.694940507,Asia
1.10639751,0.522574842,Africa
1.259086251,0.407034069,Africa
1.011466622,0.529350698,Asia
1.19249332,0.788671136,Asia
0.9293859,0.312833875,Africa
0.97314173,0.234981522,Africa
0.986717939,0.167835936,Africa
1.034576893,0.77585727,Asia
0.7311939,0.694657624,Asia
0.886271179,0.749053836,Asia
1.140118599,0.777624726,Asia
0.905077755,0.536312759,Africa
1.321316481,0.698674381,Europe
0.920733929,0.392284274,Africa
1.194755554,0.613826573,Asia
1.052327394,0.378311664,Africa
0.739118278,0.1087441,Africa
0.872167706,0.781156719,Africa
1.113323569,0.425184816,Africa
1.19494009,0.792036712,Asia
0.833055019,0.277212054,Africa
1.098178267,0.495443076,Asia
0.547622859,0.342731178,Africa
1.001103282,0.483846247,Africa
0.823694348,0.500617027,Africa
0.982539535,0.596911311,Africa
0.747984946,0.203953966,Africa
0.403575271,0.295212835,Africa
0.896037281,0.36359334,Africa
0.646671355,0.37436673,South America
0.644198656,0.54057014,Asia
0.53036809,0.446163297,Africa
1.177477121,0.41500017,Asia
1.08569479,0.494101733,Africa
0.872674644,0.442677855,Africa
0.522876322,0.572383285,Africa
1.047835231,0.375037611,Africa
0.356433839,0.266051531,Asia
